ID,Grade,Most Recent Hire Date,Age Range,LTR
982,C1,24/03/2025,40-49,Manufacturing Engineering 2
983,B2,02/06/2025,30-39,Manufacturing Engineering 2
984,B2,24/03/2025,50-54,Manufacturing Engineering 2
985,B1,03/03/2025,50-54,Craft Engineer Specialist 2
986,B2,14/04/2025,20-29,Facility Engineer 2
987,C2,16/06/2025,30-39,Manufacturing Engineering 2
988,C1,27/05/2025,50-54,Facility Engineer 2
989,A2,28/04/2025,30-39,Craft Engineer Practitioner 2
990,B2,24/03/2025,30-39,Manufacturing Engineering 2
991,C1,28/04/2025,50-54,Facility Engineer 2
992,C1,12/05/2025,55-59,Maintenance Engineer 2
993,B2,16/06/2025,30-39,Manufacturing Engineering 2
994,B1,07/04/2025,20-29,Manufacturing Engineering 2
995,B1,28/04/2025,30-39,Craft Engineer Specialist 2
996,B1,12/05/2025,30-39,Craft Engineer Specialist 2
997,B2,09/06/2025,50-54,Facility Engineer 2
998,B1,27/05/2025,20-29,Manufacturing Engineering 2
999,B2,24/03/2025,30-39,Facility Engineer 2
1000,C2,24/03/2025,50-54,Principal Asset Engineer 2
1001,B2,14/04/2025,30-39,Facility Engineer 2
1002,C1,07/04/2025,30-39,Facility Engineer 2
1003,C1,14/04/2025,60-69,Manufacturing Engineering 2
1004,A2,12/05/2025,50-54,Craft Engineer Practitioner 2
1005,B2,12/05/2025,20-29,Facility Engineer 2
1006,B1,12/05/2025,50-54,Craft Engineer Specialist 2
1007,A2,12/05/2025,40-49,Craft Engineer Practitioner 2
1008,B1,16/06/2025,30-39,Craft Engineer Specialist 2
1009,A1,27/08/2025,40-49,Craft Engineer Trainee 2
1010,B1,16/06/2025,20-29,Craft Engineer Specialist 2
1011,A1,27/08/2025,<20,Craft Engineer Trainee 2
1012,A1,27/08/2025,30-39,Craft Engineer Trainee 2
1013,A1,01/09/2025,<20,Facility Engineer 2
1014,B1,30/09/2025,20-29,HR Graduate
1015,A1,27/08/2025,<20,Craft Engineer Trainee 2
1016,B1,28/04/2025,20-29,Manufacturing Engineering 2
1017,A1,27/08/2025,<20,Craft Engineer Trainee 2
1018,B1,30/09/2025,20-29,HR Graduate
1019,A1,27/08/2025,<20,Facility Engineer 2
1020,B1,30/09/2025,20-29,HR Graduate
1021,A1,27/08/2025,20-29,Craft Engineer Trainee 2
1022,A2,04/08/2025,20-29,Manufacturing Engineering 2
1023,C2,02/06/2025,50-54,Facility Engineer 2
1024,B1,30/09/2025,20-29,HR Graduate
1025,A1,27/08/2025,<20,Manufacturing Engineering 2
1026,B2,02/06/2025,30-39,Manufacturing Engineering 2
1027,A1,27/08/2025,20-29,Craft Engineer Trainee 2
1028,A1,27/08/2025,<20,Facility Engineer 2
1029,A1,27/08/2025,20-29,Craft Engineer Trainee 2
1030,B1,30/09/2025,20-29,HR Graduate
1031,A1,27/08/2025,<20,Craft Engineer Trainee 2
1032,A1,27/08/2025,<20,Facility Engineer 2
1033,A1,27/08/2025,<20,Manufacturing Engineering 2
1034,C1,07/07/2025,40-49,Facility Engineer 2
1035,A1,27/08/2025,20-29,Craft Engineer Trainee 2
1036,A1,27/08/2025,<20,Craft Engineer Trainee 2
1037,A1,27/08/2025,20-29,Facility Engineer 2
1038,B1,30/09/2025,20-29,HR Graduate
1039,C1,07/07/2025,30-39,Manufacturing Engineering 2
1040,A1,27/08/2025,<20,Craft Engineer Trainee 2
1041,C1,12/05/2025,55-59,Manufacturing Engineering 2
1042,B2,07/07/2025,20-29,Manufacturing Engineering 2
1043,C1,01/09/2025,60-69,Facility Engineer 2
1044,B2,02/06/2025,30-39,Facility Engineer 2
1045,B2,06/10/2025,30-39,Facility Engineer 2
1046,A1,27/08/2025,<20,Craft Engineer Trainee 2
1047,C1,02/06/2025,40-49,Facility Engineer 2
1048,A1,27/08/2025,<20,Facility Engineer 2
1049,B2,02/06/2025,60-69,Facility Engineer 2
1050,A2,30/06/2025,50-54,Craft Engineer Practitioner 2
1051,A1,27/08/2025,<20,Craft Engineer Trainee 2
1052,B1,30/09/2025,20-29,HR Graduate
1053,C1,27/10/2025,30-39,Manufacturing Engineering 2
1054,A1,27/08/2025,<20,Facility Engineer 2
1055,C1,30/06/2025,30-39,Facility Engineer 2
1056,B2,30/06/2025,20-29,Facility Engineer 2
1057,C1,01/09/2025,40-49,Facility Engineer 2
1058,C1,30/06/2025,55-59,Configuration Management
1059,B2,04/08/2025,20-29,Manufacturing Engineering 2
1060,B1,09/06/2025,30-39,Craft Engineer Specialist 2
1061,A2,04/08/2025,20-29,Manufacturing Engineering 2
1062,A1,27/08/2025,20-29,Craft Engineer Trainee 2
1063,B1,16/06/2025,30-39,Craft Engineer Specialist 2
1064,A1,27/08/2025,<20,Facility Engineer 2
1065,A1,27/08/2025,20-29,Craft Engineer Trainee 2
1066,B1,23/06/2025,20-29,Maintenance Planner 2
1067,B2,28/07/2025,20-29,Facility Engineer 2
1068,B1,15/09/2025,20-29,Engineering Early Careers
1069,C2,27/10/2025,50-54,Principal Asset Engineer 2
1070,C1,27/10/2025,40-49,Maintenance Engineer 2
1071,A2,28/07/2025,30-39,Craft Engineer Practitioner 2
1072,B1,15/09/2025,20-29,Engineering Early Careers
1073,C1,06/10/2025,60-69,Manufacturing Engineering 2
1074,A1,27/08/2025,<20,Craft Engineer Trainee 2
1075,B2,24/11/2025,50-54,Maintenance Engineer 2
1076,B2,24/11/2025,50-54,Maintenance Engineer 2
1077,B1,15/09/2025,20-29,Manufacturing Engineering 2
1078,B1,15/09/2025,20-29,Engineering Early Careers
1079,A1,27/08/2025,<20,Craft Engineer Trainee 2
1080,A1,27/08/2025,<20,Craft Engineer Trainee 2
1081,B1,15/09/2025,20-29,Engineering Early Careers
1082,B2,08/09/2025,40-49,Manufacturing Engineering 2
1083,B1,22/09/2025,40-49,Maintenance Planner 2
1084,B2,15/09/2025,30-39,Maintenance Engineer 2
1085,A2,03/11/2025,30-39,Craft Engineer Practitioner 2
1086,B2,13/10/2025,30-39,Manufacturing Engineering 2
1087,B2,13/10/2025,20-29,Manufacturing Engineering 2
1088,B2,24/11/2025,30-39,Maintenance Engineer 2
1089,B2,03/11/2025,50-54,Facility Engineer 2
1090,A2,13/10/2025,20-29,Craft Engineer Practitioner 2
1091,A2,03/11/2025,30-39,Craft Engineer Practitioner 2
1092,B1,03/11/2025,55-59,Craft Engineer Specialist 2
1093,C1,10/11/2025,50-54,Maintenance Engineer 2
1094,B1,10/11/2025,20-29,Manufacturing Engineering 2
1095,D1,13/10/2025,40-49,Manufacturing Engineering 2
1096,B2,01/12/2025,20-29,Facility Engineer 2
1097,C2,01/12/2025,30-39,Manufacturing Engineering 2
1098,B2,01/12/2025,20-29,Facility Engineer 2
1099,B2,10/11/2025,40-49,Manufacturing Engineering 2
1100,B1,23/02/2026,20-29,Facility Engineer 2
